datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,80.0,75,60,90,5be37d61fb1666002310e1df,90,80.0,70,76.4,85,16,78.062
2018-11-08T00:00:00.000+00:00,73.0,80,60,90,5be4cec5fb166600220fe15a,85,77.5,61,75.5,75,10,75.6
2018-11-09T00:00:00.000+00:00,74.5,65,61,90,5be62012fb1666002313a60f,84,80.0,65,74.4,65,14,76.357
2018-11-10T00:00:00.000+00:00,79.0,80,61,90,5be771c1fb16660023152918,80,79.5,78,76.3,79,8,79.25
2018-11-11T00:00:00.000+00:00,72.5,75,61,85,5be8c336fb16660023168eb1,80,75.0,65,75.8,80,13,75.231
2018-11-12T00:00:00.000+00:00,79.5,79,65,84,5bea151dfb1666002317fe43,80,80.0,79,75.7,80,8,79.375
2018-11-13T00:00:00.000+00:00,79.0,78,65,80,5beb6624fb16660022168376,80,80.0,78,76.9,80,14,79.714
2018-11-14T00:00:00.000+00:00,72.0,65,65,80,5becb814fb1666002217f244,79,70.0,65,76.4,65,4,71.0
2018-11-15T00:00:00.000+00:00,77.0,79,65,80,5bee098ffb166600231c2d66,80,76.5,74,76.0,78,6,76.833
2018-11-16T00:00:00.000+00:00,74.5,70,65,80,5bef5b20fb166600231d9c61,79,75.0,70,76.4,75,12,74.417
2018-11-17T00:00:00.000+00:00,72.5,74,65,80,5bf0aca3fb166600231f10d7,80,75.0,65,75.0,70,16,72.875
2018-11-18T00:00:00.000+00:00,75.0,80,65,80,5bf1fe0efb166600232084aa,80,75.0,70,74.2,73,24,75.042
2018-11-19T00:00:00.000+00:00,73.5,70,65,80,5bf34f8efb166600221f0889,80,76.5,67,74.5,70,13,75.692
2018-11-20T00:00:00.000+00:00,74.0,70,65,80,5bf4a0e2fb16660023235b43,80,75.0,68,73.9,68,11,73.909
2018-11-21T00:00:00.000+00:00,75.0,80,67,80,5bf5f265fb1666002324ce69,80,75.0,70,74.0,75,22,75.5
2018-11-22T00:00:00.000+00:00,70.0,75,65,80,5bf74379fb16660022232f83,75,69.0,65,73.5,69,8,69.0
2018-11-23T00:00:00.000+00:00,72.5,70,65,80,5bf8955efb1666002224a2b0,80,73.0,65,73.0,73,15,72.333
2018-11-24T00:00:00.000+00:00,70.5,70,56,85,5bf9e6c8fb1666002329221b,85,72.5,56,72.4,75,12,68.917
2018-11-25T00:00:00.000+00:00,73.5,74,56,85,5bfb3864fb16660022276c5f,78,74.0,69,72.3,70,14,72.786
2018-11-26T00:00:00.000+00:00,75.0,75,56,85,5bfc89d3fb1666002228ccac,80,75.0,70,72.3,80,11,74.273
2018-11-27T00:00:00.000+00:00,67.0,79,55,85,5bfddae7fb166600222a17d9,79,70.0,55,71.7,70,9,69.889
2018-11-28T00:00:00.000+00:00,72.5,74,55,90,5bff2ca2fb166600232f0381,90,66.5,55,71.7,55,13,66.923
2018-11-29T00:00:00.000+00:00,70.0,75,55,90,5c007e4dfb166600222cceb5,75,71.0,65,71.6,72,16,71.75
2018-11-30T00:00:00.000+00:00,77.0,80,55,90,5c01cfbffb1666002331fa68,88,77.0,66,72.3,67,12,75.75
2018-12-01T00:00:00.000+00:00,75.0,70,55,90,5c032154fb166600233377d5,80,73.0,70,72.3,75,7,73.286
2018-12-02T00:00:00.000+00:00,74.5,75,65,88,5c0472d7fb1666002230fc85,79,75.0,70,73.8,70,11,73.636
2018-12-03T00:00:00.000+00:00,80.0,79,66,90,5c05c44ffb166600233654bf,90,79.5,70,75.3,70,7,77.714
2018-12-04T00:00:00.000+00:00,74.5,75,70,90,5c071571fb1666002233a1c2,79,75.0,70,76.2,75,8,74.0
2018-12-05T00:00:00.000+00:00,76.5,70,70,90,5c08671afb166600233907a6,83,77.0,70,76.1,70,9,77.222
2018-12-06T00:00:00.000+00:00,76.0,80,69,90,5c09b8df3ae3e800234e4332,83,75.0,69,76.3,69,16,76.5
2018-12-07T00:00:00.000+00:00,74.5,70,69,83,5c0b0a443ae3e800244fb61e,80,72.5,69,76.3,75,8,73.625
2018-12-08T00:00:00.000+00:00,70.0,70,60,83,5c0c5b803ae3e80024513060,80,70.0,60,74.3,70,10,69.8
2018-12-09T00:00:00.000+00:00,75.0,73,60,85,5c0dad1d3ae3e8002452bbc1,85,75.0,65,74.4,85,8,75.375
2018-12-10T00:00:00.000+00:00,75.0,70,60,85,5c0efe733ae3e8002454403c,85,75.0,65,74.1,85,13,74.923
2018-12-11T00:00:00.000+00:00,77.5,79,60,85,5c1050453ae3e80023555129,85,76.0,70,74.4,75,14,77.357
2018-12-12T00:00:00.000+00:00,72.5,74,65,85,5c11a19c3ae3e80024575d39,80,70.0,65,74.0,80,17,73.176
2018-12-13T00:00:00.000+00:00,75.0,75,65,85,5c12f33f3ae3e80023583474,85,75.0,65,75.0,80,20,75.3
2018-12-14T00:00:00.000+00:00,72.5,80,65,85,5c1445223ae3e8002359c0c0,80,72.0,65,74.5,65,10,72.2
2018-12-15T00:00:00.000+00:00,69.5,60,60,85,5c15960e3ae3e800245c1468,79,70.0,60,73.4,75,20,68.5
2018-12-16T00:00:00.000+00:00,74.0,75,60,85,5c16e7873ae3e800245da044,79,70.0,69,72.7,70,13,72.538
2018-12-17T00:00:00.000+00:00,79.0,78,60,80,5c1839873ae3e800235e7b5a,80,80.0,78,74.0,80,5,79.4
2018-12-18T00:00:00.000+00:00,80.0,80,60,81,5c198b3e3ae3e8002460dc37,81,80.0,79,75.0,79,4,80.0
2018-12-19T00:00:00.000+00:00,69.0,68,68,81,5c1adc013ae3e8002462671f,70,70.0,68,74.3,70,6,69.667
2018-12-20T00:00:00.000+00:00,75.5,75,68,83,5c1c2e0e3ae3e800236312a7,83,79.5,68,75.5,80,15,76.667
2018-12-21T00:00:00.000+00:00,79.5,79,68,83,5c1d7f9d3ae3e8002465b52b,80,80.0,79,76.6,79,8,79.625
2018-12-22T00:00:00.000+00:00,80.0,78,68,90,5c1ed0f33ae3e80024675df7,90,80.0,70,76.8,75,15,78.333
2018-12-23T00:00:00.000+00:00,74.5,80,60,90,5c2022103ae3e8002468f0d9,89,75.5,60,75.7,60,16,74.0
2018-12-24T00:00:00.000+00:00,77.5,85,60,90,5c2173813ae3e800246a954e,85,75.0,70,77.4,75,6,76.667
2018-12-25T00:00:00.000+00:00,77.5,82,60,90,5c22c5743ae3e800246c3927,85,80.0,70,77.8,85,17,80.353
2018-12-26T00:00:00.000+00:00,82.5,80,60,90,5c24169f3ae3e800236c9734,90,85.0,75,78.4,90,9,83.889
2018-12-27T00:00:00.000+00:00,76.5,80,60,93,5c2568963ae3e800236e3f38,93,80.0,60,77.7,65,12,78.417
2018-12-28T00:00:00.000+00:00,80.0,85,60,95,5c26b9883ae3e80024712060,95,80.0,65,78.8,65,11,79.273
2018-12-29T00:00:00.000+00:00,79.5,78,60,95,5c280b9a3ae3e800237186bd,85,79.5,74,79.2,75,11,79.909
2018-12-30T00:00:00.000+00:00,77.5,70,60,95,5c295c863ae3e80024748651,85,80.0,70,79.2,84,15,78.667
2018-12-31T00:00:00.000+00:00,80.0,85,65,95,5c2aadfc3ae3e80024763482,85,80.0,75,78.7,80,9,80.444
2019-01-01T00:00:00.000+00:00,82.5,80,70,90,5c2bfffe3ae3e8002477de43,90,81.0,75,79.9,82,13,82.692
2019-01-02T00:00:00.000+00:00,82.5,90,70,95,5c2d51973ae3e80024799525,95,82.5,70,80.4,80,6,82.5
