datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-13T00:00:00.000+00:00,1.0,1,1,1,5beb65d6fb1666002319518b,1,1,1,,1,5,1.0
2018-11-19T00:00:00.000+00:00,2.0,2,1,2,5bf34f4dfb1666002321e90f,2,2,2,,2,5,2.0
2018-12-27T00:00:00.000+00:00,2.0,2,1,2,5c2568563ae3e800246f7a7a,2,2,2,,2,10,2.0
2019-01-11T00:00:00.000+00:00,2.0,2,1,2,5c392ee53ae3e8002488f191,2,2,2,1.6,2,1,2.0
