datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,open_price,volume,wa_price
2019-01-03T00:00:00.000+00:00,2.0,2,2,2,5c2ea2553ae3e800247b29a9,2,2,2,0,2,1,2.0
2019-01-18T00:00:00.000+00:00,2.0,2,2,2,5c4268993ae3e80024953fc4,2,2,2,0,2,2,2.0
